Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Dem. Rep.",COD,,,,,,1945.0,2295.0,4781.0,11448.0,11580.0,12476.0,11513.0,18757.0,8271.0,7532.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Congo, Rep.",COG,,,,,,3755.33363289149,4817.0,7011.0,12132.0,10380.0,11462.0,10604.0,8439.0,4976.0,4990.79,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Costa Rica,CRI,36045.0,36170.0,37284.0,36786.0,33285.0,41600.5549745151,43354.0,40081.0,42831.0,50239.0,41544.0,46405.0,48971.0,40014.0,44878.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cote d'Ivoire,CIV,,,,,,5604.0,907.0,415.0,3912.0,4032.0,9068.0,9463.0,14884.0,14666.0,12890.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Croatia,HRV,22031.0,21641.0,22391.0,24728.0,24613.0,24766.0,26743.0,26456.0,24305.0,25161.0,25183.0,26171.0,26809.0,27189.0,27711.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cuba,CUB,11484.0,11533.0,11874.0,11686.0,10653.0,21235.4502809087,18302.8583708965,15869.7722047845,23292.0,15468.0,17592.0,20058.0,13144.0,8830.0,7140.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Curacao,CUW,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Cyprus,CYP,17392.0,17530.0,19131.0,19399.0,18556.0,15318.0,12430.0,13296.0,11724.0,9000.0,306.0,2994.0,8698.0,5456.0,3326.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Czech Republic,CZE,75295.0,75439.0,75830.0,78377.0,78153.0,72137.0,61476.0,44189.0,54948.0,48975.0,38304.0,43878.0,50387.0,70828.0,44051.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Denmark,DNK,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Djibouti,DJI,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominica,DMA,,,,,,,,,,,,,,,,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Dominican Republic,DOM,,,,,,1552.0,2286.0,2303.0,1908.0,1584.0,1421.0,1170.0,,,13796.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Ecuador,ECU,29844.0,31016.0,44842.0,49162.0,46485.0,60835.0,49193.0,54250.9226188785,58687.0,61248.0,61649.0,55430.0,50837.0,53033.0,50575.0,
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"Egypt, Arab Rep.",EGY,44730.0,47444.0,51440.0,57510.0,56414.0,104036.125,78726.0909090909,92303.0,100735.5,101725.767440561,108206.0,115856.0,105464.0,105097.0,113055.0,
